Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
FedEx Express,4.0,1.4k,Logistics,Mumbai +94 other locations,"Company Culture, Work Life Balance, Job Security",1.4k,5.3k,115,108,191,2
Worley,4.1,1.4k,Engineering & Construction,Mumbai +56 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.4k,7.5k,140,120,117,--
Aerial Telecom Solutions,4.2,1.4k,Telecom,Sahibzada Ajit Singh Nagar +114 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.4k,2.3k,126,16,41,3
Citco,3.1,1.4k,Management Consulting,Hyderabad +13 other locations,"Promotions, Company Culture, Work Life Balance",1.4k,9.9k,172,76,53,--
Novo Nordisk,3.6,1.4k,Pharma,Bengaluru +75 other locations,Work Life Balance,1.4k,6.5k,100,107,133,10
Sunknowledge Services,3.4,1.4k,BPO,Kolkata +13 other locations,Job Security,1.4k,3.9k,109,9,208,1
Rashmi Metaliks,3.1,1.4k,Iron & Steel,Kharagpur +43 other locations,"Company Culture, Job Security, Promotions",1.4k,4.8k,118,6,65,5
iMerit,3.2,1.4k,IT Services & Consulting,Kolkata +22 other locations,"Promotions, Salary, Skill Development",1.4k,5.7k,118,7,99,--
Fino Payments Bank,3.8,1.4k,Banking,Mumbai +275 other locations,"Promotions, Salary",1.4k,4k,63,16,98,7
TCS iON,3.8,1.4k,IT Services & Consulting,Hyderabad +113 other locations,Job Security,1.4k,4.1k,408,--,181,1
Amity University,3.6,1.4k,Education & Training,Noida +85 other locations,Job Security,1.4k,5.2k,117,28,126,2
Sharekhan,3.7,1.4k,Financial Services,Mumbai +114 other locations,"Promotions, Salary, Work Satisfaction",1.4k,5.1k,100,77,116,--
JSW Cement,4.1,1.4k,Building Material,Mumbai +147 other locations,"Job Security, Company Culture, Work Life Balance",1.4k,4.3k,139,19,111,13
Incedo,2.9,1.4k,IT Services & Consulting,Gurugram +13 other locations,"Promotions, Work Satisfaction, Job Security",1.4k,10.5k,207,49,114,17
INDIUM,3.9,1.4k,IT Services & Consulting,Chennai +13 other locations,"Work Life Balance, Company Culture, Skill Development",1.4k,7.1k,258,109,52,65
Paytm Payments Bank,3.8,1.4k,Banking,Noida +136 other locations,Work Life Balance,1.4k,5.6k,143,--,118,--
Bajaj Housing Finance,3.6,1.4k,NBFC,Pune +166 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.4k,5.9k,71,64,60,5
Aforeserve,3.4,1.4k,IT Services & Consulting,Mumbai +160 other locations,"Promotions, Salary, Job Security",1.4k,3.6k,93,31,89,3
Faurecia,3.9,1.4k,Auto Components,Pune +28 other locations,"Company Culture, Work Life Balance, Skill Development",1.4k,6k,72,12,182,1
R Systems International,3.6,1.4k,IT Services & Consulting,Noida +23 other locations,"Promotions, Job Security",1.4k,7.6k,161,41,115,18
Bharat FIH,3.7,1.4k,Electronics Manufacturing,Chennai +39 other locations,"Promotions, Job Security, Salary",1.4k,5.3k,91,--,76,1
The Ramco Cements,4.1,1.4k,Building Material,Chennai +126 other locations,"Job Security, Company Culture, Work Life Balance",1.4k,4.3k,520,--,102,4
Iffco Tokio General Insurance Co.,3.8,1.4k,Insurance,Gurugram +282 other locations,Promotions,1.4k,4.2k,51,--,114,6
Sheenlac Paints,4.1,1.4k,Chemicals,Chennai +163 other locations,"Salary, Company Culture, Work Life Balance",1.4k,1.7k,210,1,45,138
Burger King,3.9,1.3k,Hospitality,New Delhi +112 other locations,"Skill Development, Salary, Company Culture",1.3k,3.6k,100,10,138,6
Unichem Laboratories,3.7,1.3k,Pharma,Ghaziabad +77 other locations,Job Security,1.3k,5.2k,95,59,127,--
Aptara,3.1,1.3k,Content Development,Noida +15 other locations,"Promotions, Skill Development, Salary",1.3k,6.4k,78,9,114,5
Viraj Profiles,4.1,1.3k,Iron & Steel,Mumbai +28 other locations,"Skill Development, Work Life Balance, Work Satisfaction",1.3k,4.5k,100,--,148,2
TE Connectivity,4.1,1.3k,Electronics Manufacturing,Bengaluru +23 other locations,"Company Culture, Work Life Balance, Job Security",1.3k,7.6k,102,144,152,15
DEXIT Global,3.5,1.3k,IT Services & Consulting,Mumbai +151 other locations,"Promotions, Salary, Job Security",1.3k,5.9k,139,2,113,--
GE,4.1,1.3k,Defence & Aerospace,Bengaluru +76 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,7.4k,116,12,181,--
Grant Thornton,3.4,1.3k,Accounting & Auditing,Bengaluru +59 other locations,"Promotions, Work Satisfaction, Salary",1.3k,11.6k,120,284,86,--
Collabera Talent Solutions,3.5,1.3k,Recruitment,Bengaluru +43 other locations,"Promotions, Job Security, Salary",1.3k,6.9k,152,5,111,--
FDC,3.7,1.3k,Pharma,Mumbai +129 other locations,"Promotions, Salary, Work Satisfaction",1.3k,3.7k,70,28,88,5
Brillio,3.3,1.3k,IT Services & Consulting,Bengaluru +14 other locations,"Promotions, Job Security, Work Satisfaction",1.3k,10.8k,141,92,78,25
Hindware Limited,3.9,1.3k,Building Material,Hyderabad +133 other locations,Work Life Balance,1.3k,4.6k,88,12,133,2
JioMart,3.9,1.3k,Retail,Mumbai +296 other locations,"Company Culture, Work Life Balance, Skill Development",1.3k,4.2k,120,--,79,6
GEP Worldwide,3.6,1.3k,IT Services & Consulting,Mumbai +17 other locations,Company Culture,1.3k,9.5k,157,15,130,12
ZF Steering Gear,3.7,1.3k,Auto Components,Hyderabad +36 other locations,"Promotions, Work Satisfaction, Salary",1.3k,7.5k,61,12,97,3
CreditAccess Grameen,3.9,1.3k,NBFC,Bengaluru +352 other locations,"Company Culture, Job Security, Skill Development",1.3k,2.7k,54,14,73,14
CenturyPly,3.8,1.3k,Furniture & Furnishing,Kolkata +147 other locations,Salary,1.3k,4.4k,98,77,65,13
Hatsun Agro Product,3.8,1.3k,Food Processing,Chennai +127 other locations,Skill Development,1.3k,4.7k,84,8,105,1
Decathlon,3.7,1.3k,Retail,Bengaluru +71 other locations,"Job Security, Skill Development, Company Culture",1.3k,4.4k,120,--,119,20
ManpowerGroup,3.6,1.3k,Recruitment,Bengaluru +151 other locations,"Promotions, Job Security, Skill Development",1.3k,5.2k,71,191,85,14
RBL FinServe,3.9,1.3k,Financial Services,Mumbai +367 other locations,"Salary, Skill Development",1.3k,3k,68,--,82,6
Punjab National Bank,3.9,1.3k,Banking,New Delhi +219 other locations,Job Security,1.3k,3k,65,--,101,6
Baroda Global Shared Services,3.8,1.3k,BPO,Gandhinagar +182 other locations,Work Life Balance,1.3k,3k,131,28,32,5
VIBGYOR Group of Schools,3.5,1.3k,Education & Training,Bengaluru +37 other locations,"Promotions, Job Security, Company Culture",1.3k,4.2k,100,223,104,--
Cinépolis,3.8,1.3k,Media & Entertainment,New Delhi +61 other locations,"Company Culture, Job Security",1.3k,3k,83,--,152,1
Big Bazaar,4.4,1.3k,Retail,New Delhi +158 other locations,"Skill Development, Company Culture, Work Satisfaction",1.3k,2.2k,47,--,191,1
More Supermarket,3.6,1.3k,Retail,Bengaluru +164 other locations,"Job Security, Promotions, Company Culture",1.3k,4k,94,30,60,1
Shubham Housing Development Finance,3.9,1.3k,NBFC,New Delhi +161 other locations,"Company Culture, Work Life Balance, Skill Development",1.3k,3k,52,8,78,9
Nippon Paint India,4.0,1.3k,Chemicals,Chennai +165 other locations,"Work Life Balance, Company Culture, Skill Development",1.3k,3.9k,81,2,87,11
Spicejet,3.2,1.3k,Aviation,New Delhi +60 other locations,"Promotions, Salary, Job Security",1.3k,5.1k,106,1,156,4
NetAmbit,4.0,1.3k,BPO,Noida +158 other locations,"Salary, Work Life Balance, Skill Development",1.3k,3.2k,173,2,37,7
OM Logistics,3.9,1.3k,Logistics,New Delhi +125 other locations,"Job Security, Work Life Balance",1.3k,3.9k,95,4,105,5
Troikaa Pharmaceuticals,4.0,1.3k,Pharma,Ahmedabad +106 other locations,"Salary, Work Life Balance, Skill Development",1.3k,3.9k,119,18,82,6
Atul,3.9,1.3k,Chemicals,Valsad +64 other locations,"Job Security, Work Life Balance, Company Culture",1.3k,5.2k,101,1,115,8
SK Finance Limited,3.8,1.3k,NBFC,Jaipur +275 other locations,"Promotions, Salary",1.3k,3.6k,90,--,17,31
Astral Pipe,4.0,1.3k,Building Material,Ahmedabad +144 other locations,"Work Life Balance, Job Security",1.3k,4.2k,96,87,33,3
Mondelez International,4.1,1.3k,Food Processing,Mumbai +202 other locations,"Salary, Skill Development, Company Culture",1.3k,4.8k,77,86,131,10
ICICI Prudential Mutual Fund,3.9,1.3k,Financial Services,Mumbai +171 other locations,"Work Life Balance, Skill Development, Job Security",1.3k,5.7k,88,--,90,--
Fabindia,3.7,1.3k,Retail,New Delhi +82 other locations,"Work Life Balance, Job Security, Skill Development",1.3k,4.1k,61,57,120,4
Ion Exchange India,3.7,1.3k,Waste Management,Mumbai +128 other locations,Job Security,1.3k,5.2k,100,40,91,5
Bluestock ™,4.5,1.3k,FinTech,Pune +44 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.3k,61,388,--,1,1
Globant,3.4,1.3k,IT Services & Consulting,Pune +17 other locations,Work Life Balance,1.3k,10.4k,207,87,104,9
Royal Migration Solutions,4.9,1.3k,Other,Dubai +12 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,5,1,--,1,--
NxtWave,3.6,1.3k,EdTech,Hyderabad +55 other locations,"Promotions, Work Life Balance, Job Security",1.3k,3.3k,292,112,19,1
Centre for Development of Advanced Computing,3.7,1.3k,IT Services & Consulting,Pune +42 other locations,"Work Life Balance, Job Security",1.3k,6.9k,126,1,63,--
Luminous Power Technologies,4.1,1.3k,Consumer Electronics & Appliances,Gurugram +134 other locations,"Work Life Balance, Job Security, Company Culture",1.3k,4.1k,100,22,128,--
Pantaloons,4.1,1.3k,Retail,Mumbai +156 other locations,"Job Security, Company Culture, Skill Development",1.3k,2.9k,69,--,133,5
Hindustan Construction Company,4.2,1.3k,Engineering & Construction,Mumbai +93 other locations,"Company Culture, Job Security, Work Satisfaction",1.3k,3.2k,96,2,158,1
OpenText Technologies,3.3,1.3k,Software Product,Bengaluru +14 other locations,"Job Security, Promotions, Work Satisfaction",1.3k,12.2k,196,25,90,3
Samsung Research,3.0,1.3k,IT Services & Consulting,Bengaluru +21 other locations,"Promotions, Work Satisfaction, Skill Development",1.3k,9.8k,150,--,142,--
Jakson Group,4.1,1.3k,Power,Noida +103 other locations,"Work Life Balance, Salary, Company Culture",1.3k,4k,107,15,99,2
T-Systems ICT India,3.7,1.3k,IT Services & Consulting,Pune +17 other locations,Work Life Balance,1.3k,8.9k,112,12,94,14
Aarvee Associates,3.7,1.3k,Engineering & Construction,Hyderabad +179 other locations,"Promotions, Company Culture, Skill Development",1.3k,3.4k,102,--,106,4
Apex Group,2.6,1.3k,Financial Services,Pune +28 other locations,"Promotions, Job Security, Company Culture",1.3k,8.3k,185,360,36,4
Vestas,4.1,1.3k,Power,Chennai +51 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,5.3k,99,27,135,6
ANZ Banking Group,3.7,1.3k,Banking,Bengaluru +17 other locations,"Work Life Balance, Company Culture",1.3k,8.3k,107,41,102,--
Sigma Electric Manufacturing Corporation,4.0,1.3k,Industrial Machinery,Pune +24 other locations,"Company Culture, Work Life Balance, Job Security",1.3k,2.8k,78,20,206,7
Tenneco,3.6,1.3k,Auto Components,Pune +46 other locations,"Promotions, Company Culture, Work Satisfaction",1.3k,5.3k,72,14,116,--
Spandana Sphoorty Financial,3.8,1.3k,NBFC,Hyderabad +364 other locations,"Job Security, Promotions",1.3k,2.4k,54,8,87,9
Electronics Corporation of India Limited,4.2,1.3k,Electronics Manufacturing,Hyderabad +58 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,3.2k,61,--,106,3
Panasonic,4.0,1.3k,Consumer Electronics & Appliances,Gurugram +124 other locations,"Work Life Balance, Salary, Company Culture",1.3k,4.7k,51,22,150,--
Automotive Manufacturers,3.8,1.3k,Automobile,Hyderabad +152 other locations,Promotions,1.3k,5.2k,104,40,77,2
Godrej Consumer Products,4.0,1.3k,FMCG,Mumbai +149 other locations,"Work Life Balance, Company Culture, Job Security",1.3k,4.9k,62,--,120,5
AGS Transact Technologies,2.8,1.3k,FinTech,Mumbai +123 other locations,"Promotions, Salary, Job Security",1.3k,3.7k,43,--,129,1
Fresenius Kabi,4.0,1.3k,Pharma,Pune +66 other locations,"Work Life Balance, Company Culture, Job Security",1.3k,4.1k,58,27,120,8
Dell EMC,3.8,1.3k,IT Services & Consulting,Bengaluru +54 other locations,Work Life Balance,1.3k,8.4k,74,--,193,1
SKF,4.0,1.3k,Auto Components,Pune +72 other locations,"Company Culture, Work Life Balance, Skill Development",1.3k,4.6k,77,52,151,3
Intertek,3.8,1.3k,"Testing, Inspection and Certification (TIC)",New Delhi +118 other locations,"Promotions, Salary",1.3k,4.1k,85,66,117,9
H.G. Infra Engineering,4.0,1.3k,Engineering & Construction,Jaipur +99 other locations,"Salary, Skill Development, Company Culture",1.3k,3.3k,110,1,93,11
KIMS Hospital,3.7,1.3k,Healthcare,Hyderabad +60 other locations,"Promotions, Salary, Work Satisfaction",1.3k,3.8k,63,7,80,3
PNC Infratech,3.8,1.2k,Engineering & Construction,Agra +97 other locations,Promotions,1.2k,3.5k,83,--,81,6
iSON Xperiences,3.2,1.2k,BPO,Chennai +43 other locations,"Promotions, Salary, Company Culture",1.2k,3.3k,81,11,92,2
Dassault Systemes,3.7,1.2k,Software Product,Pune +13 other locations,"Job Security, Work Life Balance, Company Culture",1.2k,7.4k,188,--,135,3
Prodapt,3.5,1.2k,IT Services & Consulting,Chennai +16 other locations,"Promotions, Salary, Work Satisfaction",1.2k,9.9k,118,73,75,11
Mu Sigma,2.5,1.2k,Analytics & KPO,Bengaluru +16 other locations,"Work Life Balance, Job Security, Company Culture",1.2k,6.8k,254,--,123,11
Shriram Pistons & Rings,4.0,1.2k,Auto Components,Bhiwadi +61 other locations,"Job Security, Company Culture, Work Life Balance",1.2k,4.6k,77,2,138,4
Zoho,4.2,1.2k,Software Product,Chennai +37 other locations,"Job Security, Company Culture, Work Life Balance",1.2k,10.1k,587,--,102,24
Kalpataru Limited,4.2,1.2k,Real Estate,Mumbai +84 other locations,"Job Security, Work Life Balance, Salary",1.2k,4.5k,274,26,82,2
DP World,3.8,1.2k,Logistics,Mumbai +84 other locations,Salary,1.2k,5.2k,101,166,69,8
Synchrony,4.3,1.2k,Financial Services,Hyderabad +9 other locations,"Job Security, Company Culture, Work Life Balance",1.2k,5.6k,95,17,202,23
AIIMS,4.2,1.2k,Education & Training,New Delhi +77 other locations,"Skill Development, Work Satisfaction, Work Life Balance",1.2k,4.6k,68,--,69,21
Jindal X,3.5,1.2k,BPO,New Delhi +22 other locations,"Job Security, Promotions, Work Satisfaction",1.2k,2.8k,114,7,155,1
Oil And Natural Gas Corporation,4.3,1.2k,Oil & Gas,Mumbai +84 other locations,"Work Life Balance, Work Satisfaction, Job Security",1.2k,3.1k,80,--,139,2
Colliers India,3.9,1.2k,Real Estate,Bengaluru +50 other locations,"Work Life Balance, Salary",1.2k,4.9k,99,82,81,10
Diageo,3.8,1.2k,Beverage,Bengaluru +100 other locations,"Company Culture, Work Life Balance, Salary",1.2k,6.4k,93,54,105,2
DLF,4.0,1.2k,Real Estate,Gurugram +35 other locations,"Salary, Work Life Balance, Skill Development",1.2k,5k,100,--,76,7
Parexel International,3.8,1.2k,Clinical Research,Hyderabad +25 other locations,"Promotions, Salary",1.2k,6.1k,88,6,126,9
Rupeek,4.1,1.2k,FinTech,Bengaluru +56 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.2k,3.3k,133,33,58,2
Nielsen,3.1,1.2k,Analytics & KPO,Bengaluru +75 other locations,"Promotions, Job Security, Work Satisfaction",1.2k,6.7k,160,--,133,7
Rockman Industries,3.8,1.2k,Auto Components,Haridwar +42 other locations,"Job Security, Skill Development, Salary",1.2k,3.8k,97,24,101,2
Indostar Capital Finance Limited,4.3,1.2k,NBFC,Mumbai +332 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.2k,2.1k,201,1,39,6
Qualcomm,3.7,1.2k,Semiconductors,Hyderabad +18 other locations,Salary,1.2k,15.3k,300,77,135,2
Wind World,4.0,1.2k,Power,Jaisalmer +85 other locations,"Work Life Balance, Job Security, Work Satisfaction",1.2k,3.3k,88,6,122,--
Fidelity Investments,4.1,1.2k,Financial Services,Bengaluru +19 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.2k,8.1k,128,1,163,--
JTEKT,4.1,1.2k,Auto Components,Gurugram +30 other locations,"Job Security, Company Culture, Skill Development",1.2k,4.4k,96,4,94,4
ExcelR,3.6,1.2k,Education & Training,Bengaluru +25 other locations,"Promotions, Salary, Job Security",1.2k,1.1k,109,57,3,10
EbixCash Limited,3.6,1.2k,Software Product,Noida +86 other locations,Work Life Balance,1.2k,5.1k,110,5,73,1
Kirloskar Oil Engines,4.1,1.2k,Industrial Machinery,Pune +109 other locations,"Work Life Balance, Company Culture, Job Security",1.2k,4.2k,65,11,98,1
DENSO,4.1,1.2k,Auto Components,Gurugram +39 other locations,"Job Security, Company Culture, Salary",1.2k,3.8k,85,5,177,7
Best Sellers,4.1,1.2k,Retail,Mumbai +92 other locations,"Company Culture, Work Life Balance, Skill Development",1.2k,3k,34,3,131,4
Ahluwalia Contracts India,4.0,1.2k,Engineering & Construction,New Delhi +55 other locations,"Job Security, Salary, Work Life Balance",1.2k,3.5k,78,26,71,2
Fidelity National Financial,3.7,1.2k,Financial Services,Bengaluru +16 other locations,Job Security,1.2k,6.3k,62,3,155,7
PHN Technology,4.2,1.2k,EdTech,Pune +32 other locations,"Company Culture, Work Life Balance, Skill Development",1.2k,383,42,2,2,8
Strides Pharma,3.8,1.2k,Pharma,Bengaluru +43 other locations,Skill Development,1.2k,4.4k,81,--,155,9
ACG Worldwide,3.8,1.2k,Pharma,Mumbai +32 other locations,"Promotions, Work Satisfaction",1.2k,4k,86,51,47,5
JK Lakshmi Cement,3.7,1.2k,Building Material,New Delhi +142 other locations,"Job Security, Promotions, Skill Development",1.2k,3.7k,82,1,97,2
Genius HRTech,3.8,1.2k,Recruitment,Kolkata +108 other locations,Work Life Balance,1.2k,4k,75,1,72,--
Intel,4.1,1.2k,Semiconductors,Bengaluru +38 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.2k,9.3k,242,98,92,8
Leadec India,4.1,1.2k,Facility Management Services,Pune +82 other locations,"Work Life Balance, Company Culture, Work Satisfaction",1.2k,3.6k,152,55,87,42
Innova Solutions,3.3,1.2k,IT Services & Consulting,Hyderabad +37 other locations,"Promotions, Job Security, Skill Development",1.2k,8.2k,104,81,21,1
Baazar Retail Private Limited,4.5,1.2k,Retail,Kolkata +110 other locations,"Company Culture, Work Life Balance, Job Security",1.2k,1.5k,86,3,19,12
Federal Bank,3.6,1.2k,Banking,Mumbai +157 other locations,"Salary, Job Security",1.2k,5.9k,121,--,74,--
Zetwerk,4.0,1.2k,Industrial Machinery,Bengaluru +122 other locations,"Salary, Company Culture, Work Life Balance",1.2k,4.1k,119,41,58,152
Sri Chaitanya Techno Schools,3.5,1.2k,Education & Training,Bengaluru +171 other locations,"Promotions, Salary, Company Culture",1.2k,3.6k,76,1,1,1
HFCL Limited,3.8,1.2k,Telecom,Hyderabad +112 other locations,Work Life Balance,1.2k,4.2k,86,--,90,2
FOCUS EDUMATICS,2.9,1.2k,EdTech,Coimbatore +35 other locations,"Job Security, Promotions, Company Culture",1.2k,3.1k,128,--,40,20
PayPal,3.7,1.2k,FinTech,Bengaluru +15 other locations,"Salary, Work Life Balance, Company Culture",1.2k,10.1k,243,--,122,6
Thyrocare Technologies,3.7,1.2k,Healthcare,Mumbai +77 other locations,Promotions,1.2k,4.4k,88,28,94,4
Electronica Finance,4.1,1.2k,NBFC,Pune +174 other locations,"Salary, Work Life Balance, Skill Development",1.2k,2.8k,142,19,35,20
Salesforce,3.9,1.2k,Software Product,Hyderabad +41 other locations,"Salary, Work Life Balance, Company Culture",1.2k,14.6k,251,327,105,18
Prism Johnson,3.7,1.2k,Building Material,Mumbai +147 other locations,"Promotions, Company Culture, Work Satisfaction",1.2k,4.5k,71,19,66,3
Aptiv,3.4,1.2k,Auto Components,Bengaluru +26 other locations,"Promotions, Company Culture, Work Satisfaction",1.2k,8.6k,125,14,47,23
Indira IVF Hospital,3.8,1.2k,Healthcare,Mumbai +106 other locations,Promotions,1.2k,3.1k,79,57,80,7
Meril,3.6,1.2k,Medical Equipment,Vapi +84 other locations,Job Security,1.2k,5.1k,88,24,75,44
Aparna Constructions and Estates,3.9,1.2k,Real Estate,Hyderabad +22 other locations,"Job Security, Skill Development, Salary",1.2k,4.1k,115,73,98,23
Schaeffler India,4.0,1.2k,Auto Components,Vadodara +30 other locations,"Job Security, Work Life Balance, Company Culture",1.2k,5.8k,68,--,109,9
The Jaypee Group,3.8,1.2k,Engineering & Construction,Noida +108 other locations,"Job Security, Work Life Balance",1.2k,3.4k,52,11,115,1
Barclays Shared Services,3.8,1.2k,Financial Services,Chennai +17 other locations,"Work Life Balance, Job Security",1.2k,4.7k,38,661,180,--
Birla Corporation,4.0,1.2k,Building Material,Satna +146 other locations,"Work Life Balance, Job Security, Company Culture",1.2k,3.8k,76,12,86,7
Apollo Health and Lifestyle Limited,4.3,1.2k,Healthcare,Hyderabad +95 other locations,"Job Security, Company Culture, Work Life Balance",1.2k,3.5k,118,55,69,59
Podar International School,4.0,1.2k,Education & Training,Mumbai +125 other locations,"Company Culture, Job Security, Skill Development",1.2k,3.2k,82,7,116,9
Ocwen Financial Solutions,3.8,1.2k,Financial Services,Bengaluru +9 other locations,"Company Culture, Work Life Balance",1.2k,4.3k,53,32,171,1
MDIndia Health Insurance TPA,3.6,1.2k,Insurance,Pune +94 other locations,"Promotions, Salary, Work Satisfaction",1.2k,3.8k,72,32,89,3
Balkrishna Industries,4.0,1.2k,Auto Components,Bhuj +35 other locations,"Job Security, Salary, Work Life Balance",1.2k,4.3k,70,--,61,--
London Stock Exchange Group,3.6,1.2k,Financial Services,Bengaluru +11 other locations,Work Life Balance,1.2k,11.2k,160,3,56,--
Johnson Lifts,3.9,1.2k,Industrial Machinery,Chennai +75 other locations,"Job Security, Work Life Balance",1.2k,3.6k,50,10,92,1
Coca-Cola Company,4.0,1.2k,Beverage,Bengaluru +208 other locations,"Skill Development, Work Life Balance, Company Culture",1.2k,3.4k,107,--,104,4
Imperial Auto Industries,3.8,1.2k,Auto Components,Faridabad +37 other locations,"Promotions, Salary, Company Culture",1.2k,4.9k,79,11,67,13
Nilkamal,3.7,1.2k,Furniture & Furnishing,Mumbai +113 other locations,"Promotions, Skill Development, Work Satisfaction",1.2k,3.7k,83,21,95,--
Deccan Fine Chemicals,3.6,1.1k,Agro Chemicals,Tuni +31 other locations,"Company Culture, Promotions, Work Satisfaction",1.1k,5.2k,107,9,64,--
Biocon Biologics,3.7,1.1k,Biotechnology,Bengaluru +27 other locations,"Promotions, Work Satisfaction, Salary",1.1k,6.9k,112,3,355,14
Edelweiss,3.6,1.1k,Financial Services,Mumbai +114 other locations,"Promotions, Work Satisfaction",1.1k,5.5k,63,--,134,--
Dhoot Transmission,3.7,1.1k,Auto Components,Chhatrapati Sambhajinagar +43 other locations,"Promotions, Salary, Company Culture",1.1k,3.9k,69,3,107,3
CaratLane - A Tata Product,4.0,1.1k,Jewellery,Chennai +87 other locations,"Skill Development, Company Culture, Job Security",1.1k,3.1k,68,14,80,49
Dishtv,3.4,1.1k,Broadcasting,Noida +151 other locations,"Promotions, Job Security, Work Satisfaction",1.1k,3.3k,77,9,104,1
Motilal Oswal Home Finance,4.3,1.1k,NBFC,Mumbai +130 other locations,"Company Culture, Work Life Balance, Skill Development",1.1k,1.5k,127,--,26,10
Edelweiss Life Insurance,3.7,1.1k,Insurance,Mumbai +124 other locations,"Work Satisfaction, Promotions",1.1k,3.7k,60,41,97,3
Kohler,3.7,1.1k,Building Material,Pune +53 other locations,"Promotions, Job Security, Work Satisfaction",1.1k,5.2k,79,8,75,13
IIFL Home Finance,3.8,1.1k,NBFC,Gurugram +266 other locations,Promotions,1.1k,2.9k,59,1.8k,18,2
Bajaj Motors,3.9,1.1k,Auto Components,Gurugram +92 other locations,"Work Life Balance, Work Satisfaction, Skill Development",1.1k,3.4k,70,13,110,--
INDO-MIM,4.0,1.1k,Metals & Mining,Bengaluru +35 other locations,"Job Security, Work Life Balance, Skill Development",1.1k,4.4k,78,5,115,--
Stanza Living,3.3,1.1k,Internet,Bengaluru +37 other locations,"Job Security, Promotions, Company Culture",1.1k,3.6k,113,22,74,34
Jacobs Engineering Group,4.2,1.1k,Engineering & Construction,Mumbai +42 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.1k,5.3k,91,24,94,1
Barbeque Nation,3.9,1.1k,Hospitality,Bengaluru +83 other locations,"Company Culture, Job Security, Skill Development",1.1k,2.7k,50,18,120,23
Navitasys India,4.1,1.1k,Electronics Manufacturing,Bawal +28 other locations,"Job Security, Salary, Company Culture",1.1k,2.7k,146,5,55,4
Onward Technologies Inc,2.8,1.1k,IT Services & Consulting,Pune +64 other locations,"Job Security, Promotions, Skill Development",1.1k,6.2k,93,37,44,16
Jabil Circuit India,4.0,1.1k,Electronics Manufacturing,Pune +30 other locations,"Company Culture, Skill Development, Work Life Balance",1.1k,4.4k,69,67,90,1
Piaggio,3.6,1.1k,Automobile,Pune +85 other locations,"Promotions, Job Security, Company Culture",1.1k,3.9k,74,41,123,4
Unicharm,3.9,1.1k,FMCG,Gurugram +194 other locations,Salary,1.1k,3k,66,1,106,--
Advantmed,4.1,1.1k,Healthcare,Ahmedabad +17 other locations,"Skill Development, Company Culture, Job Security",1.1k,2.8k,171,20,55,5
Asirvad Microfinance,3.8,1.1k,NBFC,Chennai +323 other locations,"Promotions, Salary",1.1k,2.3k,48,--,63,16
Wonder Home Finance,4.6,1.1k,NBFC,Jaipur +120 other locations,"Company Culture, Work Life Balance, Work Satisfaction",1.1k,773,192,3,9,31
V2 Retail,3.3,1.1k,Retail,New Delhi +137 other locations,"Job Security, Company Culture, Work Satisfaction",1.1k,2.6k,91,44,88,13
MAHLE ANAND Filter Systems,3.9,1.1k,Auto Components,Pune +40 other locations,"Job Security, Company Culture, Work Life Balance",1.1k,3.5k,42,--,112,2
TK Elevator,3.8,1.1k,Industrial Machinery,Pune +80 other locations,Promotions,1.1k,4.3k,66,6,97,1
Svatantra Microfin,3.9,1.1k,NBFC,Mumbai +345 other locations,"Company Culture, Skill Development, Job Security",1.1k,2.2k,48,11,79,18
Air India Sats Airport Services,3.5,1.1k,Aviation,New Delhi +46 other locations,"Promotions, Salary, Company Culture",1.1k,2.5k,69,--,72,--
MG Motor,3.8,1.1k,Automobile,Vadodara +102 other locations,Promotions,1.1k,4.9k,80,38,77,1
Wistron,4.0,1.1k,Electronics Manufacturing,Bengaluru +22 other locations,"Job Security, Company Culture, Work Life Balance",1.1k,5.1k,93,--,131,2
Hyundai Mobis,3.7,1.1k,Auto Components,Chennai +47 other locations,Salary,1.1k,5.2k,80,14,128,6
Zydus Wellness,4.1,1.1k,FMCG,Ahmedabad +130 other locations,"Salary, Company Culture, Work Life Balance",1.1k,2.7k,107,22,76,9
ICON Plc,4.0,1.1k,Clinical Research,Chennai +23 other locations,"Work Life Balance, Company Culture, Job Security",1.1k,4.5k,145,7,57,100
Sundaram Finance,3.9,1.1k,NBFC,Chennai +252 other locations,"Job Security, Company Culture, Work Life Balance",1.1k,3k,50,12,89,9
TÜV NORD,3.7,1.1k,"Testing, Inspection and Certification (TIC)",Pune +92 other locations,"Promotions, Company Culture, Job Security",1.1k,4.1k,81,48,69,1
