Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
Bandhan Bank,3.7,11.3k,Banking,Kolkata +1018 other locations,"Promotions, Work Satisfaction, Skill Development",11.3k,25.8k,772,1,561,44
Digitide Solutions,3.5,10.4k,IT Services & Consulting,Hyderabad +274 other locations,"Promotions, Salary, Work Satisfaction",10.4k,27.2k,581,353,787,47
Mphasis,3.3,10.3k,IT Services & Consulting,Bengaluru +63 other locations,"Promotions, Salary, Work Satisfaction",10.3k,75.1k,943,79,868,133
Yes Bank,3.7,10.3k,Banking,Mumbai +543 other locations,"Job Security, Promotions, Company Culture",10.3k,43.1k,568,225,640,18
Tata Steel,4.0,10k,Iron & Steel,Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",10k,34.7k,1.1k,--,680,52
Quess,3.8,9.8k,Recruitment,Bengaluru +758 other locations,"Promotions, Job Security",9.8k,31.5k,550,52,463,23
Asian Paints,3.9,9.7k,Chemicals,Mumbai +558 other locations,"Salary, Skill Development, Job Security",9.7k,26.4k,884,95,925,36
Maruti Suzuki,4.1,9.6k,Automobile,Gurugram +458 other locations,"Job Security, Salary, Skill Development",9.6k,28.9k,803,97,1.1k,25
Startek,3.0,9.6k,BPO,Bengaluru +104 other locations,"Promotions, Work Satisfaction, Salary",9.6k,24.9k,656,285,697,16
UltraTech Cement,4.1,9.6k,Building Material,Mumbai +541 other locations,"Job Security, Skill Development, Company Culture",9.6k,25.1k,820,68,648,47
Paytm,3.2,9.4k,FinTech,Noida +428 other locations,"Job Security, Promotions, Company Culture",9.4k,34.6k,906,835,604,24
Bajaj Finance,3.9,9.3k,NBFC,Pune +1002 other locations,"Salary, Skill Development, Job Security",9.3k,23.7k,456,6.9k,533,16
Shriram Finance,3.9,9.2k,NBFC,Chennai +1122 other locations,"Job Security, Company Culture, Work Life Balance",9.2k,15.9k,460,4,48,46
Sutherland Global Services,3.4,9.1k,BPO,Chennai +82 other locations,"Promotions, Work Satisfaction, Skill Development",9.1k,36.1k,812,338,923,30
Equitas Small Finance Bank,4.3,8.9k,Banking,Chennai +486 other locations,"Job Security, Company Culture, Work Life Balance",8.9k,13.8k,1k,33,420,43
Wells Fargo,3.6,8.8k,Financial Services,Bengaluru +27 other locations,Work Life Balance,8.8k,63.7k,700,331,873,13
EXL Service,3.6,8.7k,Analytics & KPO,Noida +61 other locations,Job Security,8.7k,45.7k,931,86,816,20
Cipla,4.1,8.7k,Pharma,Mumbai +296 other locations,"Salary, Work Life Balance, Skill Development",8.7k,26.7k,608,34,881,20
Ericsson,3.9,8.5k,Telecom,Noida +161 other locations,"Work Life Balance, Company Culture",8.5k,42.9k,478,65,1k,17
Samsung,3.9,8.4k,Consumer Electronics & Appliances,Noida +582 other locations,Salary,8.4k,26.4k,637,52,534,16
Dr. Reddy's,4.0,8.3k,Pharma,Hyderabad +215 other locations,"Company Culture, Work Life Balance, Skill Development",8.3k,26k,528,42,756,30
Optum Global Solutions,4.0,8.1k,IT Services & Consulting,Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",8.1k,51.5k,787,332,710,2
JSW Steel,3.9,8k,Iron & Steel,Ballari +199 other locations,"Job Security, Skill Development",8k,32k,860,126,633,32
JPMorgan Chase & Co.,3.8,7.9k,Financial Services,Bengaluru +56 other locations,Job Security,7.9k,92.3k,891,489,867,14
Delhivery,3.7,7.9k,Logistics,Gurugram +765 other locations,Promotions,7.9k,22.3k,624,306,672,71
Coforge,3.3,7.9k,IT Services & Consulting,Hyderabad +106 other locations,"Promotions, Work Satisfaction, Skill Development",7.9k,58.6k,845,236,359,102
ICICI Prudential Life Insurance,3.9,7.8k,Insurance,Mumbai +512 other locations,"Job Security, Salary, Skill Development",7.8k,23.1k,492,183,645,13
Hexaware Technologies,3.4,7.8k,IT Services & Consulting,Chennai +71 other locations,"Promotions, Salary, Work Satisfaction",7.8k,55.8k,837,1.5k,571,30
Jana Small Finance Bank,3.7,7.7k,Banking,Bengaluru +426 other locations,Salary,7.7k,14.3k,312,111,639,17
Sun Pharmaceutical Industries,4.1,7.7k,Pharma,Vadodara +264 other locations,"Salary, Job Security, Skill Development",7.7k,23.7k,694,364,618,16
Ujjivan Small Finance Bank,4.0,7.7k,Banking,Bengaluru +544 other locations,"Company Culture, Work Life Balance, Skill Development",7.7k,13.5k,335,87,597,26
HGS,3.7,7.6k,Emerging Technologies,Bengaluru +122 other locations,"Promotions, Salary",7.6k,20.4k,279,17,972,32
Zydus Lifesciences,4.0,7.6k,Pharma,Ahmedabad +182 other locations,"Salary, Work Life Balance, Skill Development",7.6k,20.6k,512,47,640,21
Ekart Logistics,3.9,7.6k,Logistics,Bengaluru +740 other locations,Skill Development,7.6k,17.2k,414,--,434,76
Amazon Development Centre India,3.8,7.5k,Internet,Hyderabad +147 other locations,"Company Culture, Work Life Balance",7.5k,40k,905,8,366,13
Lupin,4.1,7.4k,Pharma,Pune +204 other locations,"Company Culture, Skill Development, Work Life Balance",7.4k,22.4k,454,59,778,11
KPMG India,3.4,7.4k,Management Consulting,Bengaluru +112 other locations,"Promotions, Work Life Balance, Work Satisfaction",7.4k,69.9k,950,85,761,8
Axis Max Life Insurance,4.0,7.3k,Insurance,New Delhi +511 other locations,"Skill Development, Company Culture, Work Life Balance",7.3k,20.2k,426,1.6k,525,11
L&T Construction,4.0,7.3k,Engineering & Construction,Chennai +436 other locations,"Job Security, Skill Development, Salary",7.3k,19.4k,954,--,933,41
ITC,3.9,7.2k,FMCG,Bengaluru +379 other locations,"Job Security, Skill Development",7.2k,25.3k,706,74,652,14
Hindustan Unilever,4.2,7.2k,FMCG,Mumbai +547 other locations,"Skill Development, Company Culture, Work Life Balance",7.2k,20.5k,479,32,716,6
Megha Engineering & Infrastructures,3.9,7k,Engineering & Construction,Hyderabad +409 other locations,Promotions,7k,19.1k,588,18,558,39
Tata Projects,4.2,6.9k,Engineering & Construction,Mumbai +288 other locations,"Salary, Company Culture, Work Life Balance",6.9k,22.7k,629,32,563,63
Cholamandalam Investment & Finance,3.9,6.7k,Financial Services,Chennai +871 other locations,Salary,6.7k,13.4k,302,57,315,41
Bajaj Life Insurance,3.8,6.7k,Insurance,Pune +621 other locations,Salary,6.7k,17.9k,452,91,489,17
L&T Technology Services,3.0,6.7k,IT Services & Consulting,Bengaluru +95 other locations,"Promotions, Salary, Work Satisfaction",6.7k,44.9k,635,--,462,11
FIS,3.8,6.6k,FinTech,Pune +60 other locations,Work Life Balance,6.6k,39.4k,545,201,732,17
Oracle,3.3,6.6k,Software Product,Bengaluru +56 other locations,Work Life Balance,6.6k,65.3k,965,127,635,39
Omega Healthcare,3.8,6.5k,BPO,Chennai +70 other locations,"Promotions, Salary",6.5k,27.9k,564,160,404,32
JLL,4.1,6.5k,Real Estate,Gurugram +87 other locations,"Company Culture, Work Life Balance, Job Security",6.5k,25.4k,505,420,555,21
Muthoot Finance,3.7,6.4k,NBFC,Bengaluru +798 other locations,Promotions,6.4k,13.3k,368,159,342,12
IIFL Finance,4.0,6.4k,NBFC,Mumbai +814 other locations,"Work Life Balance, Company Culture, Skill Development",6.4k,13.9k,337,64,412,19
eClerx,3.1,6.4k,IT Services & Consulting,Pune +32 other locations,"Promotions, Salary, Work Satisfaction",6.4k,33.5k,649,416,570,26
Indian Army,4.7,6.3k,Defence & Aerospace,New Delhi +364 other locations,"Job Security, Company Culture, Work Life Balance",6.3k,9.3k,212,--,751,12
Piramal Finance,4.2,6.2k,NBFC,Mumbai +435 other locations,"Company Culture, Work Life Balance, Skill Development",6.2k,12.7k,304,644,402,52
DMart,3.9,6.2k,Retail,Mumbai +255 other locations,"Job Security, Company Culture",6.2k,19.4k,572,254,496,17
PolicyBazaar,3.7,6.2k,Internet,Gurugram +159 other locations,Salary,6.2k,18.4k,651,1.3k,255,28
Virtusa Consulting Services,3.7,6.2k,IT Services & Consulting,Hyderabad +55 other locations,"Promotions, Work Satisfaction, Job Security",6.2k,57.6k,688,168,328,23
HSBC Group,3.8,6.1k,Financial Services,Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture",6.1k,45.3k,564,126,1.1k,26
HCL Group,3.5,6.1k,IT Services & Consulting,Chennai +97 other locations,Job Security,6.1k,38.9k,523,--,665,1
Indiamart Intermesh,3.5,6.1k,Internet,Noida +169 other locations,"Company Culture, Work Life Balance, Work Satisfaction",6.1k,21.7k,779,235,463,22
SMFG India Credit,3.9,6k,NBFC,Mumbai +608 other locations,Salary,6k,11.2k,216,134,364,22
Access Healthcare,3.7,6k,BPO,Chennai +62 other locations,Job Security,6k,29.7k,412,1.5k,370,9
BigBasket,3.9,5.9k,Internet,Bengaluru +144 other locations,Job Security,5.9k,20.1k,503,77,391,36
Siemens,4.0,5.9k,Industrial Automation,Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",5.9k,34.9k,517,461,644,13
Manappuram Finance,3.9,5.9k,NBFC,Bengaluru +662 other locations,"Work Life Balance, Promotions, Skill Development",5.9k,9.7k,234,21,273,35
ICICI Lombard General Insurance Company,3.5,5.8k,Insurance,Mumbai +321 other locations,"Promotions, Work Satisfaction, Company Culture",5.8k,20.4k,369,230,385,22
GlobalLogic,3.5,5.8k,IT Services & Consulting,Hyderabad +62 other locations,"Promotions, Salary, Work Satisfaction",5.8k,41.8k,697,80,534,21
Firstsource Solutions,3.5,5.8k,BPO,Bengaluru +73 other locations,"Promotions, Salary, Work Satisfaction",5.8k,25k,370,109,582,13
Aurobindo Pharma,4.0,5.8k,Pharma,Hyderabad +116 other locations,"Job Security, Salary, Work Life Balance",5.8k,20.4k,298,27,478,9
Tata Capital,3.9,5.8k,NBFC,Mumbai +453 other locations,"Job Security, Company Culture, Work Life Balance",5.8k,16.5k,288,4k,272,24
Shapoorji Pallonji Group,4.1,5.8k,Engineering & Construction,Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",5.8k,15.5k,447,45,651,14
UST,3.7,5.8k,IT Services & Consulting,Bengaluru +52 other locations,Work Life Balance,5.8k,41.1k,609,793,420,25
Standard Chartered,3.6,5.7k,Banking,Chennai +69 other locations,"Promotions, Work Satisfaction, Salary",5.7k,42.5k,330,1,317,--
Udaan,3.9,5.7k,Internet,Bengaluru +366 other locations,Salary,5.7k,14.8k,375,--,762,16
Apollo Hospitals,4.0,5.7k,Healthcare,Chennai +226 other locations,"Job Security, Skill Development, Company Culture",5.7k,16.9k,499,292,522,2
Mahindra Finance,3.9,5.7k,NBFC,Mumbai +740 other locations,Promotions,5.7k,12.2k,227,134,524,12
Bosch Global Software Technologies,3.7,5.7k,IT Services & Consulting,Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security",5.7k,41.3k,397,49,636,21
Swiggy,3.7,5.7k,Internet,Bengaluru +238 other locations,"Job Security, Promotions, Work Life Balance",5.7k,24.3k,596,193,365,18
Citicorp,3.6,5.6k,Financial Services,Pune +68 other locations,Salary,5.6k,54.9k,643,--,527,6
Ashok Leyland,4.0,5.6k,Automobile,Chennai +265 other locations,"Work Life Balance, Skill Development, Company Culture",5.6k,19k,331,4,651,15
Hero MotoCorp,4.1,5.5k,Automobile,Gurugram +373 other locations,"Work Life Balance, Company Culture, Work Satisfaction",5.5k,16.2k,425,6,600,10
CGI Inc,4.0,5.5k,IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture",5.5k,47.6k,571,654,365,5
SBI Cards & Payment Services,3.6,5.4k,Financial Services,Gurugram +448 other locations,"Promotions, Work Satisfaction, Company Culture",5.4k,15.6k,322,103,358,14
Cyient,3.6,5.4k,IT Services & Consulting,Hyderabad +49 other locations,"Promotions, Salary, Skill Development",5.4k,27.7k,338,129,475,3
Kalpataru Projects International,4.2,5.3k,Engineering & Construction,Mumbai +328 other locations,"Job Security, Skill Development, Salary",5.3k,14.3k,346,--,222,22
NTT DATA,3.8,5.3k,IT Services & Consulting,Bengaluru +81 other locations,Work Life Balance,5.3k,39k,768,14,169,2
BNY,3.6,5.3k,Financial Services,Pune +28 other locations,"Promotions, Job Security, Work Satisfaction",5.3k,32.2k,407,60,540,1
IQVIA,3.7,5.3k,Clinical Research,Bengaluru +67 other locations,Work Life Balance,5.3k,32.2k,575,40,533,10
Nagarjuna Construction Company,4.0,5.3k,Engineering & Construction,Hyderabad +300 other locations,"Job Security, Work Life Balance, Skill Development",5.3k,12.9k,462,13,426,12
Schneider Electric,4.1,5.2k,Industrial Automation,Bengaluru +121 other locations,"Company Culture, Work Life Balance, Job Security",5.2k,26k,469,433,452,13
SBI Life Insurance Company,3.7,5.2k,Insurance,Mumbai +658 other locations,Job Security,5.2k,11.8k,319,7,340,18
JustDial,3.5,5.2k,Internet,Noida +237 other locations,"Promotions, Work Satisfaction, Job Security",5.2k,15.4k,398,32,378,9
CBRE,4.1,5.2k,Real Estate,Hyderabad +92 other locations,"Company Culture, Work Life Balance, Job Security",5.2k,19.3k,362,57,465,19
TVS Motor,3.8,5.1k,Automobile,Hosur +355 other locations,"Job Security, Skill Development, Salary",5.1k,16.7k,425,121,549,15
Persistent Systems,3.6,5.1k,IT Services & Consulting,Pune +42 other locations,"Promotions, Job Security, Work Satisfaction",5.1k,47.3k,724,491,378,33
State Bank of India,3.8,5k,Banking,Mumbai +631 other locations,"Job Security, Skill Development, Salary",5k,11.9k,327,1,418,5
KEC International,4.0,5k,Engineering & Construction,Mumbai +318 other locations,"Job Security, Salary, Company Culture",5k,13.7k,433,23,461,54
Atos,3.8,5k,IT Services & Consulting,Pune +50 other locations,Work Life Balance,5k,33.8k,417,110,465,10
ITC Infotech,3.8,5k,IT Services & Consulting,Bengaluru +69 other locations,"Work Life Balance, Job Security",5k,30.4k,425,90,291,11
vivo,4.1,4.9k,Consumer Electronics & Appliances,Noida +415 other locations,"Company Culture, Skill Development, Work Life Balance",4.9k,12.7k,247,15,648,3
Amdocs,3.7,4.9k,Software Product,Pune +24 other locations,Company Culture,4.9k,37.9k,566,5,619,22
